Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Arizona;4;01/02/2017;01/02/2017;Asthma, unspecified;J45.9;15;Not Applicable;Not Applicable
Total;Arizona;4;01/02/2017;01/02/2017;;;426;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2017;01/03/2017;Pneumonia, unspecified;J18.9;58;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2017;01/03/2017;Emphysema, unspecified;J43.9;15;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;45;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;10;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;299;Not Applicable;Not Applicable
Total;Arizona;4;01/03/2017;01/03/2017;;;474;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2017;01/04/2017;Pneumonia, unspecified;J18.9;50;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2017;01/04/2017;Emphysema, unspecified;J43.9;12;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;45;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;12;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;265;Not Applicable;Not Applicable
Total;Arizona;4;01/04/2017;01/04/2017;;;411;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2017;01/05/2017;Pneumonia, unspecified;J18.9;51;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2017;01/05/2017;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;29;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;14;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;241;Not Applicable;Not Applicable
Total;Arizona;4;01/05/2017;01/05/2017;;;374;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2017;01/06/2017;Pneumonia, unspecified;J18.9;37;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2017;01/06/2017;Emphysema, unspecified;J43.9;18;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;252;Not Applicable;Not Applicable
Total;Arizona;4;01/06/2017;01/06/2017;;;355;Not Applicable;Not Applicable
aaa;Arizona;4;01/07/2017;01/07/2017;Pneumonia, unspecified;J18.9;27;Not Applicable;Not Applicable
aaa;Arizona;4;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;31;Not Applicable;Not Applicable
aaa;Arizona;4;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;223;Not Applicable;Not Applicable
Total;Arizona;4;01/07/2017;01/07/2017;;;316;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2017;01/08/2017;Pneumonia, unspecified;J18.9;32;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2017;01/08/2017;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;30;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;216;Not Applicable;Not Applicable
Total;Arizona;4;01/08/2017;01/08/2017;;;320;Not Applicable;Not Applicable
aaa;Arizona;4;01/09/2017;01/09/2017;Pneumonia, unspecified;J18.9;35;Not Applicable;Not Applicable
aaa;Arizona;4;01/09/2017;01/09/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;34;Not Applicable;Not Applicable
aaa;Arizona;4;01/09/2017;01/09/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;211;Not Applicable;Not Applicable
Total;Arizona;4;01/09/2017;01/09/2017;;;314;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2017;01/10/2017;Pneumonia, unspecified;J18.9;52;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2017;01/10/2017;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;35;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;16;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;178;Not Applicable;Not Applicable
Total;Arizona;4;01/10/2017;01/10/2017;;;315;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2017;01/11/2017;Bacterial pneumonia, unspecified;J15.9;10;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2017;01/11/2017;Pneumonia, unspecified;J18.9;51;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2017;01/11/2017;Emphysema, unspecified;J43.9;13;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;35;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;239;Not Applicable;Not Applicable
Total;Arizona;4;01/11/2017;01/11/2017;;;385;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Influenza with pneumonia, influenza virus identified;J10.0;16;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Influenza with other respiratory manifestations, influenza virus identified;J10.1;17;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Influenza with pneumonia, virus not identified;J11.0;13;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Bacterial pneumonia, unspecified;J15.9;12;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Pneumonia, unspecified;J18.9;87;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Emphysema, unspecified;J43.9;17;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;29;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;21;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;287;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2017;01/12/2017;Asthma, unspecified;J45.9;11;Not Applicable;Not Applicable
Total;Arizona;4;01/12/2017;01/12/2017;;;536;Not Applicable;Not Applicable
Total;Arizona;4;;;;;4678;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2017;01/01/2017;Pneumonia, unspecified;J18.9;53;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;32;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;177;Not Applicable;Not Applicable
Total;Arkansas;5;01/01/2017;01/01/2017;;;294;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2017;01/02/2017;Pneumonia, unspecified;J18.9;64;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2017;01/02/2017;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;33;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2017;01/02/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;208;Not Applicable;Not Applicable
Total;Arkansas;5;01/02/2017;01/02/2017;;;350;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2017;01/03/2017;Pneumonia, unspecified;J18.9;59;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2017;01/03/2017;Emphysema, unspecified;J43.9;14;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2017;01/03/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;159;Not Applicable;Not Applicable
Total;Arkansas;5;01/03/2017;01/03/2017;;;292;Not Applicable;Not Applicable
aaa;Arkansas;5;01/04/2017;01/04/2017;Pneumonia, unspecified;J18.9;46;Not Applicable;Not Applicable
aaa;Arkansas;5;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;24;Not Applicable;Not Applicable
aaa;Arkansas;5;01/04/2017;01/04/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;173;Not Applicable;Not Applicable
Total;Arkansas;5;01/04/2017;01/04/2017;;;277;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2017;01/05/2017;Pneumonia, unspecified;J18.9;44;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;17;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2017;01/05/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;180;Not Applicable;Not Applicable
Total;Arkansas;5;01/05/2017;01/05/2017;;;270;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2017;01/06/2017;Pneumonia, unspecified;J18.9;43;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2017;01/06/2017;Emphysema, unspecified;J43.9;13;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;16;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2017;01/06/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;147;Not Applicable;Not Applicable
Total;Arkansas;5;01/06/2017;01/06/2017;;;235;Not Applicable;Not Applicable
aaa;Arkansas;5;01/07/2017;01/07/2017;Pneumonia, unspecified;J18.9;36;Not Applicable;Not Applicable
aaa;Arkansas;5;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Arkansas;5;01/07/2017;01/07/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;158;Not Applicable;Not Applicable
Total;Arkansas;5;01/07/2017;01/07/2017;;;240;Not Applicable;Not Applicable
aaa;Arkansas;5;01/08/2017;01/08/2017;Pneumonia, unspecified;J18.9;40;Not Applicable;Not Applicable
aaa;Arkansas;5;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;12;Not Applicable;Not Applicable
aaa;Arkansas;5;01/08/2017;01/08/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;135;Not Applicable;Not Applicable
Total;Arkansas;5;01/08/2017;01/08/2017;;;204;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2017;01/09/2017;Pneumonia, unspecified;J18.9;32;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2017;01/09/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;22;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2017;01/09/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;156;Not Applicable;Not Applicable
Total;Arkansas;5;01/09/2017;01/09/2017;;;230;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2017;01/10/2017;Pneumonia, unspecified;J18.9;36;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2017;01/10/2017;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;11;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2017;01/10/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;132;Not Applicable;Not Applicable
Total;Arkansas;5;01/10/2017;01/10/2017;;;205;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2017;01/11/2017;Pneumonia, unspecified;J18.9;34;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;25;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;11;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2017;01/11/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;151;Not Applicable;Not Applicable
Total;Arkansas;5;01/11/2017;01/11/2017;;;244;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Influenza with pneumonia, influenza virus identified;J10.0;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Influenza with pneumonia, virus not identified;J11.0;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Pneumonia, unspecified;J18.9;76;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;27;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;13;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2017;01/12/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;222;Not Applicable;Not Applicable
Total;Arkansas;5;01/12/2017;01/12/2017;;;396;Not Applicable;Not Applicable
Total;Arkansas;5;;;;;3237;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Influenza with pneumonia, influenza virus identified;J10.0;79;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Influenza with other respiratory manifestations, influenza virus identified;J10.1;58;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Influenza with pneumonia, virus not identified;J11.0;53;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Influenza with other respiratory manifestations, virus not identified;J11.1;34;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Pneumonia due to staphylococcus;J15.2;14;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Bacterial pneumonia, unspecified;J15.9;75;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Lobar pneumonia, unspecified;J18.1;17;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Pneumonia, unspecified;J18.9;615;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Emphysema, unspecified;J43.9;63;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;301;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;71;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Other specified chronic obstructive pulmonary disease;J44.8;22;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Chronic obstructive pulmonary disease, unspecified;J44.9;1102;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Asthma, unspecified;J45.9;41;Not Applicable;Not Applicable
aaa;California;6;01/01/2017;01/01/2017;Bronchiectasis;J47;13;Not Applicable;Not Applicable
Total;California;6;01/01/2017;01/01/2017;;;2610;Not Applicable;Not Applicable
aaa;California;6;01/02/2017;01/02/2017;Influenza with pneumonia, influenza virus identified;J10.0;42;Not Applicable;Not Applicable
aaa;California;6;01/02/2017;01/02/2017;Influenza with other respiratory manifestations, influenza virus identified;J10.1;25;Not Applicable;Not Applicable
aaa;California;6;01/02/2017;01/02/2017;Influenza with pneumonia, virus not identified;J11.0;29;Not Applicable;Not Applicable
aaa;California;6;01/02/2017;01/02/2017;Influenza with other respiratory manifestations, virus not identified;J11.1;13;Not Applicable;Not Applicable
aaa;California;6;01/02/2017;01/02/2017;Pneumonia due to staphylococcus;J15.2;12;Not Applicable;Not Applicable
