Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Alabama;1;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;22;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;204;Not Applicable;Not Applicable
Total;Alabama;1;01/06/2015;01/06/2015;;;305;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2015;01/07/2015;Pneumonia, unspecified;J18.9;61;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2015;01/07/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;15;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2015;01/07/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;198;Not Applicable;Not Applicable
Total;Alabama;1;01/07/2015;01/07/2015;;;303;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2015;01/08/2015;Pneumonia, unspecified;J18.9;51;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2015;01/08/2015;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;27;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;196;Not Applicable;Not Applicable
Total;Alabama;1;01/08/2015;01/08/2015;;;312;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2015;01/09/2015;Pneumonia, unspecified;J18.9;51;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;28;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;170;Not Applicable;Not Applicable
Total;Alabama;1;01/09/2015;01/09/2015;;;273;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2015;01/10/2015;Pneumonia, unspecified;J18.9;67;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2015;01/10/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;17;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2015;01/10/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;188;Not Applicable;Not Applicable
Total;Alabama;1;01/10/2015;01/10/2015;;;312;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2015;01/11/2015;Pneumonia, unspecified;J18.9;71;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;24;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;227;Not Applicable;Not Applicable
Total;Alabama;1;01/11/2015;01/11/2015;;;345;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2015;01/12/2015;Pneumonia, unspecified;J18.9;85;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2015;01/12/2015;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;21;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;244;Not Applicable;Not Applicable
Total;Alabama;1;01/12/2015;01/12/2015;;;394;Not Applicable;Not Applicable
Total;Alabama;1;;;;;4376;Not Applicable;Not Applicable
aaa;Alaska;2;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;12;Not Applicable;Not Applicable
Total;Alaska;2;01/01/2015;01/01/2015;;;19;Not Applicable;Not Applicable
Total;Alaska;2;01/02/2015;01/02/2015;;;18;Not Applicable;Not Applicable
Total;Alaska;2;01/03/2015;01/03/2015;;;22;Not Applicable;Not Applicable
Total;Alaska;2;01/04/2015;01/04/2015;;;14;Not Applicable;Not Applicable
aaa;Alaska;2;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;18;Not Applicable;Not Applicable
Total;Alaska;2;01/05/2015;01/05/2015;;;30;Not Applicable;Not Applicable
aaa;Alaska;2;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;16;Not Applicable;Not Applicable
Total;Alaska;2;01/06/2015;01/06/2015;;;28;Not Applicable;Not Applicable
Total;Alaska;2;01/07/2015;01/07/2015;;;16;Not Applicable;Not Applicable
aaa;Alaska;2;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;18;Not Applicable;Not Applicable
Total;Alaska;2;01/08/2015;01/08/2015;;;28;Not Applicable;Not Applicable
aaa;Alaska;2;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;10;Not Applicable;Not Applicable
Total;Alaska;2;01/09/2015;01/09/2015;;;18;Not Applicable;Not Applicable
Total;Alaska;2;01/10/2015;01/10/2015;;;16;Not Applicable;Not Applicable
Total;Alaska;2;01/11/2015;01/11/2015;;;11;Not Applicable;Not Applicable
aaa;Alaska;2;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;12;Not Applicable;Not Applicable
Total;Alaska;2;01/12/2015;01/12/2015;;;25;Not Applicable;Not Applicable
Total;Alaska;2;;;;;245;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2015;01/01/2015;Bacterial pneumonia, unspecified;J15.9;13;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2015;01/01/2015;Pneumonia, unspecified;J18.9;66;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2015;01/01/2015;Emphysema, unspecified;J43.9;14;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;45;Not Applicable;Not Applicable
aaa;Arizona;4;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;289;Not Applicable;Not Applicable
Total;Arizona;4;01/01/2015;01/01/2015;;;492;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2015;01/02/2015;Pneumonia, unspecified;J18.9;44;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2015;01/02/2015;Emphysema, unspecified;J43.9;16;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;43;Not Applicable;Not Applicable
aaa;Arizona;4;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;260;Not Applicable;Not Applicable
Total;Arizona;4;01/02/2015;01/02/2015;;;405;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2015;01/03/2015;Pneumonia, unspecified;J18.9;62;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2015;01/03/2015;Emphysema, unspecified;J43.9;19;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;47;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;12;Not Applicable;Not Applicable
aaa;Arizona;4;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;258;Not Applicable;Not Applicable
Total;Arizona;4;01/03/2015;01/03/2015;;;441;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2015;01/04/2015;Pneumonia, unspecified;J18.9;46;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2015;01/04/2015;Emphysema, unspecified;J43.9;23;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;37;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;14;Not Applicable;Not Applicable
aaa;Arizona;4;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;262;Not Applicable;Not Applicable
Total;Arizona;4;01/04/2015;01/04/2015;;;411;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2015;01/05/2015;Pneumonia, unspecified;J18.9;56;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2015;01/05/2015;Emphysema, unspecified;J43.9;20;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;53;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;13;Not Applicable;Not Applicable
aaa;Arizona;4;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;238;Not Applicable;Not Applicable
Total;Arizona;4;01/05/2015;01/05/2015;;;410;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2015;01/06/2015;Pneumonia, unspecified;J18.9;46;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;42;Not Applicable;Not Applicable
aaa;Arizona;4;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;219;Not Applicable;Not Applicable
Total;Arizona;4;01/06/2015;01/06/2015;;;348;Not Applicable;Not Applicable
aaa;Arizona;4;01/07/2015;01/07/2015;Pneumonia, unspecified;J18.9;30;Not Applicable;Not Applicable
aaa;Arizona;4;01/07/2015;01/07/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;35;Not Applicable;Not Applicable
aaa;Arizona;4;01/07/2015;01/07/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;201;Not Applicable;Not Applicable
Total;Arizona;4;01/07/2015;01/07/2015;;;295;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2015;01/08/2015;Pneumonia, unspecified;J18.9;32;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;25;Not Applicable;Not Applicable
aaa;Arizona;4;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;177;Not Applicable;Not Applicable
Total;Arizona;4;01/08/2015;01/08/2015;;;265;Not Applicable;Not Applicable
aaa;Arizona;4;01/09/2015;01/09/2015;Pneumonia, unspecified;J18.9;28;Not Applicable;Not Applicable
aaa;Arizona;4;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;36;Not Applicable;Not Applicable
aaa;Arizona;4;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;209;Not Applicable;Not Applicable
Total;Arizona;4;01/09/2015;01/09/2015;;;298;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2015;01/10/2015;Pneumonia, unspecified;J18.9;39;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2015;01/10/2015;Emphysema, unspecified;J43.9;16;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2015;01/10/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;27;Not Applicable;Not Applicable
aaa;Arizona;4;01/10/2015;01/10/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;214;Not Applicable;Not Applicable
Total;Arizona;4;01/10/2015;01/10/2015;;;327;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2015;01/11/2015;Pneumonia, unspecified;J18.9;47;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2015;01/11/2015;Emphysema, unspecified;J43.9;13;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;25;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;10;Not Applicable;Not Applicable
aaa;Arizona;4;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;214;Not Applicable;Not Applicable
Total;Arizona;4;01/11/2015;01/11/2015;;;331;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2015;01/12/2015;Pneumonia, unspecified;J18.9;63;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2015;01/12/2015;Emphysema, unspecified;J43.9;15;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;41;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;14;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;264;Not Applicable;Not Applicable
aaa;Arizona;4;01/12/2015;01/12/2015;Asthma, unspecified;J45.9;11;Not Applicable;Not Applicable
Total;Arizona;4;01/12/2015;01/12/2015;;;433;Not Applicable;Not Applicable
Total;Arizona;4;;;;;4456;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2015;01/01/2015;Influenza with other respiratory manifestations, influenza virus identified;J10.1;11;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2015;01/01/2015;Influenza with other respiratory manifestations, virus not identified;J11.1;12;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2015;01/01/2015;Pneumonia, unspecified;J18.9;65;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2015;01/01/2015;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;39;Not Applicable;Not Applicable
aaa;Arkansas;5;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;159;Not Applicable;Not Applicable
Total;Arkansas;5;01/01/2015;01/01/2015;;;338;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2015;01/02/2015;Pneumonia, unspecified;J18.9;74;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;35;Not Applicable;Not Applicable
aaa;Arkansas;5;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;143;Not Applicable;Not Applicable
Total;Arkansas;5;01/02/2015;01/02/2015;;;302;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2015;01/03/2015;Pneumonia, unspecified;J18.9;46;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;23;Not Applicable;Not Applicable
aaa;Arkansas;5;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;169;Not Applicable;Not Applicable
Total;Arkansas;5;01/03/2015;01/03/2015;;;275;Not Applicable;Not Applicable
aaa;Arkansas;5;01/04/2015;01/04/2015;Pneumonia, unspecified;J18.9;44;Not Applicable;Not Applicable
aaa;Arkansas;5;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Arkansas;5;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;161;Not Applicable;Not Applicable
Total;Arkansas;5;01/04/2015;01/04/2015;;;256;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2015;01/05/2015;Pneumonia, unspecified;J18.9;52;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;26;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;148;Not Applicable;Not Applicable
Total;Arkansas;5;01/05/2015;01/05/2015;;;256;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2015;01/06/2015;Pneumonia, unspecified;J18.9;53;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2015;01/06/2015;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;23;Not Applicable;Not Applicable
aaa;Arkansas;5;01/06/2015;01/06/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;126;Not Applicable;Not Applicable
Total;Arkansas;5;01/06/2015;01/06/2015;;;229;Not Applicable;Not Applicable
aaa;Arkansas;5;01/07/2015;01/07/2015;Pneumonia, unspecified;J18.9;42;Not Applicable;Not Applicable
aaa;Arkansas;5;01/07/2015;01/07/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Arkansas;5;01/07/2015;01/07/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;129;Not Applicable;Not Applicable
Total;Arkansas;5;01/07/2015;01/07/2015;;;219;Not Applicable;Not Applicable
aaa;Arkansas;5;01/08/2015;01/08/2015;Pneumonia, unspecified;J18.9;43;Not Applicable;Not Applicable
aaa;Arkansas;5;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Arkansas;5;01/08/2015;01/08/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;100;Not Applicable;Not Applicable
Total;Arkansas;5;01/08/2015;01/08/2015;;;183;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2015;01/09/2015;Pneumonia, unspecified;J18.9;40;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2015;01/09/2015;Emphysema, unspecified;J43.9;12;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;16;Not Applicable;Not Applicable
aaa;Arkansas;5;01/09/2015;01/09/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;143;Not Applicable;Not Applicable
Total;Arkansas;5;01/09/2015;01/09/2015;;;220;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2015;01/10/2015;Pneumonia, unspecified;J18.9;41;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2015;01/10/2015;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2015;01/10/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;23;Not Applicable;Not Applicable
aaa;Arkansas;5;01/10/2015;01/10/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;152;Not Applicable;Not Applicable
Total;Arkansas;5;01/10/2015;01/10/2015;;;245;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2015;01/11/2015;Pneumonia, unspecified;J18.9;33;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;26;Not Applicable;Not Applicable
aaa;Arkansas;5;01/11/2015;01/11/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;124;Not Applicable;Not Applicable
Total;Arkansas;5;01/11/2015;01/11/2015;;;206;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2015;01/12/2015;Pneumonia, unspecified;J18.9;48;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2015;01/12/2015;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;22;Not Applicable;Not Applicable
aaa;Arkansas;5;01/12/2015;01/12/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;148;Not Applicable;Not Applicable
Total;Arkansas;5;01/12/2015;01/12/2015;;;241;Not Applicable;Not Applicable
Total;Arkansas;5;;;;;2970;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Influenza with pneumonia, influenza virus identified;J10.0;49;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Influenza with other respiratory manifestations, influenza virus identified;J10.1;36;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Influenza with pneumonia, virus not identified;J11.0;32;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Influenza with other respiratory manifestations, virus not identified;J11.1;28;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Viral pneumonia, unspecified;J12.9;11;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Pneumonia due to staphylococcus;J15.2;10;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Bacterial pneumonia, unspecified;J15.9;50;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Lobar pneumonia, unspecified;J18.1;23;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Pneumonia, unspecified;J18.9;674;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Emphysema, unspecified;J43.9;59;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;287;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;53;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Other specified chronic obstructive pulmonary disease;J44.8;20;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;1019;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Asthma, unspecified;J45.9;42;Not Applicable;Not Applicable
aaa;California;6;01/01/2015;01/01/2015;Bronchiectasis;J47;17;Not Applicable;Not Applicable
Total;California;6;01/01/2015;01/01/2015;;;2459;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Influenza with pneumonia, influenza virus identified;J10.0;41;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Influenza with other respiratory manifestations, influenza virus identified;J10.1;24;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Influenza with pneumonia, virus not identified;J11.0;31;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Influenza with other respiratory manifestations, virus not identified;J11.1;15;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Bacterial pneumonia, unspecified;J15.9;57;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Bronchopneumonia, unspecified;J18.0;11;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Lobar pneumonia, unspecified;J18.1;20;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Pneumonia, unspecified;J18.9;496;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Emphysema, unspecified;J43.9;56;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;267;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;52;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Other specified chronic obstructive pulmonary disease;J44.8;21;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;925;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Asthma, unspecified;J45.9;36;Not Applicable;Not Applicable
aaa;California;6;01/02/2015;01/02/2015;Bronchiectasis;J47;12;Not Applicable;Not Applicable
Total;California;6;01/02/2015;01/02/2015;;;2102;Not Applicable;Not Applicable
aaa;California;6;01/03/2015;01/03/2015;Influenza with pneumonia, influenza virus identified;J10.0;13;Not Applicable;Not Applicable
aaa;California;6;01/03/2015;01/03/2015;Bacterial pneumonia, unspecified;J15.9;49;Not Applicable;Not Applicable
aaa;California;6;01/03/2015;01/03/2015;Bronchopneumonia, unspecified;J18.0;10;Not Applicable;Not Applicable
